@relation activity_recognition_labeled

@attribute "UNIQUE_ID" numeric
@attribute "user" {"33" , "17", "29", "13" , "20" , "27" , "6" , "15" , "32" , "36" , "18" , "35" , "11" , "16" , "5", "10" , "28" , "26" , "14" , "24" , "12" , "23" , "4" , "30" , "34" , "8" , "31" , "21" , "3" , "22" , "1" , "25" , "9" , "2" , "7" , "19"} 
@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "X5" numeric
@attribute "X6" numeric
@attribute "X7" numeric
@attribute "X8" numeric
@attribute "X9" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Y5" numeric
@attribute "Y6" numeric
@attribute "Y7" numeric
@attribute "Y8" numeric
@attribute "Y9" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "Z5" numeric
@attribute "Z6" numeric
@attribute "Z7" numeric
@attribute "Z8" numeric
@attribute "Z9" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XPEAK" numeric
@attribute "YPEAK" numeric
@attribute "ZPEAK" numeric
@attribute "XABSOLDEV" numeric
@attribute "YABSOLDEV" numeric
@attribute "ZABSOLDEV" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{ "Walking" , "Jogging" , "Upstairs" , "Downstairs" , "Sitting" , "Standing" }

@data
263,33,0.11,0.05,0.13,0.11,0.09,0.13,0.13,0.08,0.13,0.07,0.12,0.07,0.12,0.09,0.08,0.12,0.1,0.12,0.13,0.08,0.07,0.09,0.1,0.16,0.08,0.11,0.1,0.08,0.11,0.13,0,9.56,1.97,450,1458.33,1675,1.88,3.53,2.12,2.54,4.21,2.54,10.45,Walking
264,33,0.08,0.07,0.11,0.13,0.13,0.11,0.17,0.12,0.06,0.04,0.07,0.18,0.1,0.05,0.12,0.12,0.11,0.1,0.11,0.06,0.06,0.13,0.12,0.11,0.05,0.13,0.11,0.11,0.08,0.13,0,9.11,1.83,2283.33,1820,2766.67,1.69,3.52,1.96,2.33,4.15,2.33,9.89,Walking
265,33,0.12,0.09,0.1,0.13,0.1,0.16,0.13,0.08,0.08,0.04,0.07,0.13,0.07,0.13,0.11,0.11,0.11,0.12,0.12,0.06,0.08,0.07,0.09,0.08,0.13,0.12,0.11,0.12,0.12,0.1,0,9.56,1.81,2950,1142.86,1750,1.88,3.17,1.83,2.57,3.82,2.57,10.35,Walking
266,33,0.12,0.12,0.11,0.11,0.1,0.14,0.09,0.11,0.05,0.06,0.1,0.09,0.13,0.11,0.07,0.11,0.13,0.06,0.16,0.07,0.09,0.07,0.09,0.11,0.1,0.06,0.1,0.17,0.12,0.11,0,9.45,2.03,3400,960,2583.33,1.99,3.46,2.12,2.64,4.07,2.64,10.36,Walking
267,33,0.12,0.11,0.14,0.11,0.1,0.14,0.11,0.07,0.09,0.03,0.07,0.11,0.1,0.13,0.11,0.09,0.1,0.12,0.11,0.09,0.06,0.07,0.1,0.12,0.11,0.16,0.12,0.05,0.13,0.11,0,9.59,1.94,2500,1400,1483.33,2,3.31,1.94,2.66,3.99,2.66,10.43,Walking
268,33,0.13,0.11,0.09,0.13,0.12,0.11,0.13,0.09,0.06,0.06,0.08,0.1,0.11,0.14,0.08,0.14,0.1,0.12,0.07,0.09,0.07,0.11,0.12,0.06,0.09,0.11,0.13,0.12,0.12,0.11,0,9.46,1.9,3425,1018.75,2925,2.02,3.26,1.99,2.75,3.92,2.75,10.33,Walking
269,33,0.14,0.13,0.1,0.07,0.16,0.11,0.13,0.07,0.07,0.04,0.1,0.09,0.12,0.09,0.1,0.12,0.09,0.1,0.11,0.1,0.09,0.09,0.07,0.1,0.08,0.13,0.11,0.17,0.09,0.09,0,9.52,1.79,3350,925,1250,2.06,3.47,1.91,2.76,4.15,2.76,10.4,Walking
270,33,0.14,0.12,0.09,0.11,0.13,0.13,0.12,0.08,0.07,0.03,0.1,0.1,0.12,0.09,0.08,0.14,0.05,0.12,0.13,0.1,0.06,0.09,0.1,0.13,0.1,0.09,0.09,0.13,0.12,0.11,0,9.57,1.98,2225,877.78,1000,1.94,3.46,2.04,2.59,4.14,2.59,10.44,Walking
271,33,0.13,0.12,0.11,0.12,0.13,0.12,0.11,0.08,0.06,0.04,0.1,0.1,0.13,0.07,0.09,0.15,0.08,0.08,0.11,0.11,0.09,0.1,0.1,0.07,0.07,0.1,0.1,0.15,0.13,0.12,0,9.61,2.02,2450,977.78,1760,2.04,3.46,2.17,2.71,4.18,2.71,10.54,Walking
272,33,0.13,0.15,0.09,0.11,0.06,0.18,0.16,0.05,0.05,0.05,0.11,0.09,0.11,0.11,0.07,0.11,0.14,0.07,0.11,0.1,0.08,0.09,0.1,0.09,0.1,0.11,0.09,0.14,0.13,0.1,0,9.56,1.94,2425,972.22,925,2.07,3.57,2.06,2.86,4.24,2.86,10.5,Walking
273,33,0.15,0.11,0.06,0.15,0.1,0.12,0.11,0.09,0.09,0.03,0.1,0.1,0.1,0.1,0.1,0.13,0.1,0.11,0.08,0.1,0.07,0.08,0.11,0.1,0.09,0.15,0.08,0.09,0.16,0.09,0,9.52,1.87,1875,1087.5,1720,2.1,3.49,1.95,2.8,4.23,2.8,10.4,Walking
274,33,0.13,0.13,0.12,0.07,0.15,0.13,0.1,0.11,0.05,0.04,0.08,0.1,0.12,0.13,0.08,0.13,0.11,0.1,0.06,0.1,0.08,0.08,0.1,0.09,0.09,0.13,0.1,0.1,0.15,0.11,0,9.52,2.03,2150,950,3850,2.05,3.26,2.12,2.79,3.97,2.79,10.45,Walking
275,33,0.14,0.11,0.09,0.1,0.15,0.16,0.11,0.09,0.05,0.02,0.09,0.08,0.14,0.09,0.08,0.12,0.13,0.11,0.09,0.1,0.08,0.05,0.11,0.09,0.13,0.09,0.13,0.1,0.13,0.11,0,9.56,2.02,4400,1237.5,1466.67,1.93,3.35,1.98,2.63,3.99,2.63,10.42,Walking
276,33,0.15,0.1,0.09,0.15,0.13,0.11,0.11,0.1,0.06,0.03,0.1,0.08,0.13,0.1,0.12,0.11,0.1,0.09,0.11,0.09,0.04,0.08,0.15,0.07,0.12,0.12,0.1,0.12,0.11,0.11,0,9.49,1.99,3475,3033.33,2250,2.06,3.29,1.95,2.74,3.99,2.74,10.36,Walking
277,33,0.16,0.11,0.13,0.09,0.12,0.12,0.09,0.09,0.05,0.06,0.09,0.1,0.1,0.13,0.08,0.12,0.1,0.1,0.11,0.08,0.08,0.08,0.11,0.08,0.1,0.09,0.13,0.11,0.13,0.12,0,9.56,2.04,3233.33,1680,3400,2.23,3.32,2.11,2.94,3.98,2.94,10.53,Walking
278,33,0.16,0.11,0.11,0.12,0.1,0.13,0.1,0.08,0.08,0.04,0.1,0.1,0.12,0.11,0.08,0.13,0.09,0.1,0.08,0.11,0.07,0.11,0.13,0.08,0.07,0.08,0.11,0.14,0.11,0.12,0,9.57,1.94,3400,1093.75,1540,2.15,3.45,2.11,2.84,4.13,2.84,10.49,Walking
279,33,0.16,0.11,0.11,0.11,0.1,0.1,0.12,0.09,0.07,0.05,0.09,0.1,0.11,0.08,0.11,0.13,0.11,0.08,0.15,0.07,0.06,0.1,0.12,0.1,0.1,0.06,0.1,0.16,0.13,0.1,0,9.59,1.87,3350,1107.14,1600,2.15,3.33,1.92,2.85,4.01,2.85,10.45,Walking
280,33,0.13,0.13,0.12,0.12,0.09,0.12,0.13,0.09,0.06,0.05,0.11,0.11,0.08,0.14,0.08,0.09,0.11,0.1,0.1,0.1,0.07,0.09,0.09,0.13,0.07,0.1,0.14,0.1,0.13,0.1,0,9.51,2,1700,992.86,1560,2.07,3.48,2.11,2.76,4.14,2.76,10.44,Walking
281,33,0.15,0.13,0.11,0.09,0.12,0.12,0.12,0.1,0.06,0.04,0.12,0.08,0.12,0.1,0.09,0.11,0.12,0.09,0.08,0.11,0.08,0.1,0.12,0.06,0.1,0.11,0.1,0.14,0.12,0.09,0,9.46,1.84,1933.33,988.89,1550,2.12,3.56,2.01,2.85,4.27,2.85,10.37,Walking
282,33,0.12,0.11,0.12,0.14,0.12,0.11,0.1,0.09,0.06,0.05,0.1,0.1,0.1,0.09,0.14,0.09,0.11,0.09,0.11,0.09,0.07,0.06,0.12,0.11,0.1,0.08,0.11,0.11,0.18,0.09,0,9.51,1.97,3875,762.5,1475,2.05,3.38,1.95,2.74,4.12,2.74,10.4,Walking
283,33,0.15,0.1,0.1,0.11,0.14,0.11,0.11,0.11,0.04,0.05,0.09,0.12,0.1,0.09,0.13,0.09,0.12,0.1,0.12,0.08,0.08,0.08,0.1,0.1,0.08,0.12,0.11,0.12,0.14,0.1,0,9.54,1.91,2425,983.33,1250,2.07,3.37,1.95,2.82,4.09,2.82,10.43,Walking
284,33,0.16,0.11,0.14,0.09,0.08,0.15,0.1,0.09,0.06,0.04,0.1,0.1,0.11,0.07,0.09,0.1,0.15,0.11,0.12,0.08,0.08,0.06,0.13,0.1,0.1,0.12,0.09,0.11,0.12,0.12,0,9.7,2.04,2925,1250,1550,2.11,3.42,2.13,2.79,4.08,2.79,10.63,Walking
285,33,0.14,0.14,0.08,0.1,0.09,0.13,0.16,0.07,0.06,0.06,0.11,0.1,0.11,0.11,0.11,0.09,0.09,0.11,0.11,0.09,0.08,0.12,0.08,0.08,0.07,0.12,0.13,0.12,0.13,0.1,0,9.55,1.85,1900,1114.29,1966.67,2.09,3.43,2,2.84,4.12,2.84,10.47,Walking
286,33,0.17,0.08,0.11,0.11,0.14,0.11,0.1,0.11,0.04,0.05,0.13,0.08,0.12,0.06,0.11,0.1,0.08,0.1,0.1,0.14,0.08,0.12,0.1,0.08,0.08,0.14,0.11,0.11,0.11,0.08,0,9.64,1.76,1925,750,1916.67,2.16,3.79,1.99,2.95,4.52,2.95,10.56,Walking
287,33,0.14,0.11,0.12,0.12,0.09,0.13,0.11,0.08,0.06,0.05,0.12,0.11,0.09,0.13,0.09,0.09,0.09,0.11,0.1,0.09,0.08,0.11,0.07,0.09,0.07,0.08,0.16,0.1,0.16,0.1,0,9.37,1.84,2000,709.09,2000,2.13,3.63,1.98,2.84,4.35,2.84,10.31,Walking
288,33,0.13,0.14,0.08,0.1,0.14,0.14,0.08,0.09,0.06,0.06,0.08,0.12,0.09,0.11,0.11,0.08,0.15,0.12,0.08,0.09,0.08,0.09,0.1,0.08,0.1,0.1,0.13,0.12,0.11,0.12,0,9.63,1.92,2150,1225,1180,2.1,3.26,2.08,2.8,3.93,2.8,10.55,Walking
289,33,0.13,0.12,0.12,0.11,0.12,0.12,0.1,0.08,0.07,0.05,0.1,0.09,0.1,0.13,0.05,0.15,0.09,0.1,0.14,0.08,0.1,0.12,0.09,0.08,0.11,0.08,0.08,0.14,0.14,0.09,0,9.61,1.77,2875,1730,2566.67,2.12,3.34,2.05,2.84,4,2.84,10.51,Walking
290,33,0.14,0.15,0.14,0.12,0.11,0.09,0.1,0.06,0.05,0.07,0.13,0.07,0.09,0.11,0.1,0.11,0.14,0.07,0.12,0.09,0.11,0.12,0.07,0.07,0.07,0.09,0.09,0.17,0.13,0.1,0,9.52,1.92,2400,828.57,2850,2.3,3.49,2.17,2.96,4.24,2.96,10.54,Walking
291,33,0.14,0.17,0.09,0.09,0.15,0.08,0.1,0.06,0.09,0.06,0.13,0.09,0.11,0.09,0.1,0.1,0.12,0.08,0.11,0.1,0.15,0.1,0.08,0.1,0.04,0.12,0.07,0.13,0.13,0.09,0,9.36,1.8,2450,1128.57,2200,2.25,3.75,2.36,2.9,4.55,2.9,10.47,Walking
292,33,0.14,0.14,0.09,0.1,0.14,0.13,0.11,0.07,0.06,0.05,0.11,0.09,0.1,0.14,0.05,0.11,0.11,0.11,0.14,0.08,0.09,0.11,0.08,0.1,0.07,0.1,0.11,0.12,0.13,0.1,0,9.64,1.85,2450,766.67,2266.67,2.15,3.6,2.09,2.87,4.28,2.87,10.57,Walking
293,33,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.08,0.08,0.04,0.09,0.1,0.09,0.11,0.09,0.14,0.12,0.11,0.08,0.09,0.08,0.1,0.08,0.07,0.11,0.12,0.07,0.14,0.15,0.1,0,9.6,1.92,1612.5,1062.5,1966.67,2.18,3.22,1.96,2.81,3.89,2.81,10.49,Walking
294,33,0.12,0.14,0.11,0.12,0.12,0.11,0.12,0.08,0.06,0.05,0.06,0.12,0.1,0.09,0.14,0.09,0.14,0.13,0.08,0.08,0.07,0.09,0.1,0.11,0.07,0.11,0.09,0.15,0.14,0.1,0,9.65,1.9,3025,1983.33,2633.33,2.07,3.1,1.96,2.72,3.74,2.72,10.53,Walking
295,33,0.11,0.1,0.11,0.18,0.1,0.13,0.13,0.05,0.05,0.07,0.06,0.13,0.1,0.12,0.11,0.1,0.11,0.16,0.08,0.06,0.09,0.06,0.08,0.08,0.11,0.12,0.13,0.11,0.15,0.1,0,9.53,1.88,1600,3850,1450,1.97,3.09,1.87,2.62,3.71,2.62,10.41,Walking
296,33,0.04,0.02,0.1,0.1,0.08,0.1,0.12,0.1,0.1,0.24,0.05,0.11,0.12,0.13,0.12,0.12,0.15,0.08,0.06,0.09,0.07,0.12,0.08,0.13,0.15,0.09,0.11,0.08,0.13,0.08,0,9.5,1.64,1450,1500,1450,2.09,3,1.78,2.69,3.7,2.69,10.31,Walking
297,33,0,0.04,0.04,0.12,0.08,0.06,0.06,0.09,0.16,0.38,0.05,0.16,0.08,0.15,0.12,0.07,0.12,0.08,0.09,0.1,0.12,0.1,0.12,0.1,0.13,0.13,0.07,0.09,0.08,0.08,0,9.49,1.43,1562.5,1325,1475,2.19,3.3,1.95,2.56,3.96,2.56,10.32,Walking
298,33,0,0.03,0.08,0.08,0.09,0.1,0.05,0.1,0.22,0.28,0.05,0.15,0.1,0.08,0.17,0.09,0.1,0.07,0.09,0.13,0.07,0.15,0.1,0.14,0.08,0.09,0.12,0.09,0.09,0.09,0,9.65,1.59,1475,1483.33,1580,2.02,3.3,1.99,2.4,4.03,2.4,10.43,Walking
299,33,0.01,0.06,0.05,0.1,0.11,0.05,0.08,0.09,0.25,0.23,0.09,0.11,0.14,0.08,0.1,0.1,0.1,0.1,0.09,0.11,0.12,0.13,0.07,0.14,0.11,0.12,0.07,0.09,0.09,0.09,0,9.48,1.45,1675,825,3850,2,3.53,2.04,2.42,4.21,2.42,10.3,Walking
300,33,0.03,0.06,0.08,0.08,0.08,0.06,0.07,0.12,0.18,0.26,0.11,0.13,0.08,0.07,0.11,0.13,0.09,0.09,0.09,0.13,0.15,0.11,0.1,0.13,0.12,0.08,0.09,0.1,0.05,0.09,0,9.65,1.32,1566.67,709.09,1933.33,2.12,3.6,2.09,2.54,4.38,2.54,10.52,Walking
301,33,0.02,0.06,0.08,0.08,0.12,0.06,0.07,0.16,0.19,0.19,0.07,0.15,0.11,0.09,0.09,0.09,0.15,0.09,0.08,0.1,0.13,0.1,0.1,0.12,0.15,0.07,0.09,0.09,0.08,0.09,0,9.57,1.48,975,925,1900,1.92,3.52,1.97,2.35,4.22,2.35,10.35,Walking
302,33,0.03,0.06,0.1,0.1,0.09,0.08,0.08,0.12,0.15,0.22,0.09,0.14,0.07,0.1,0.11,0.09,0.13,0.07,0.1,0.12,0.16,0.12,0.07,0.08,0.11,0.13,0.1,0.12,0.05,0.09,0,9.57,1.33,2766.67,506.67,2216.67,2.02,3.56,2,2.52,4.27,2.52,10.4,Walking
303,33,0.04,0.09,0.08,0.09,0.09,0.1,0.06,0.13,0.15,0.19,0.12,0.11,0.09,0.09,0.11,0.13,0.06,0.09,0.1,0.13,0.15,0.08,0.1,0.11,0.11,0.15,0.1,0.04,0.1,0.08,0,9.64,1.41,1520,622.73,2162.5,1.97,3.73,2.06,2.36,4.53,2.36,10.47,Walking
304,33,0.04,0.11,0.08,0.09,0.1,0.09,0.09,0.1,0.19,0.14,0.1,0.1,0.1,0.09,0.09,0.13,0.09,0.1,0.14,0.1,0.15,0.12,0.08,0.1,0.12,0.11,0.13,0.07,0.08,0.09,0,9.83,1.44,883.33,760,1500,1.95,3.53,2.12,2.37,4.25,2.37,10.66,Walking
305,33,0.06,0.09,0.11,0.1,0.08,0.08,0.14,0.1,0.12,0.15,0.11,0.1,0.1,0.13,0.08,0.1,0.1,0.11,0.08,0.13,0.12,0.15,0.08,0.07,0.11,0.13,0.12,0.11,0.03,0.11,0,9.61,1.47,2375,1175,2137.5,1.97,3.56,2.06,2.48,4.26,2.48,10.46,Walking
306,33,0.07,0.11,0.1,0.06,0.08,0.08,0.09,0.15,0.13,0.17,0.1,0.11,0.1,0.08,0.1,0.11,0.06,0.11,0.13,0.11,0.13,0.11,0.11,0.13,0.08,0.13,0.06,0.08,0.1,0.08,0,9.69,1.39,1530,1087.5,1720,2.05,3.67,2.11,2.51,4.39,2.51,10.58,Walking
307,33,0.07,0.08,0.13,0.07,0.08,0.09,0.1,0.14,0.12,0.16,0.11,0.1,0.1,0.1,0.14,0.06,0.06,0.12,0.11,0.13,0.13,0.1,0.1,0.1,0.11,0.12,0.09,0.12,0.06,0.09,0,9.74,1.49,840,730.77,975,2.03,3.74,1.97,2.57,4.49,2.57,10.59,Walking
308,33,0.04,0.09,0.11,0.09,0.1,0.06,0.13,0.11,0.14,0.16,0.07,0.14,0.09,0.08,0.16,0.07,0.08,0.1,0.13,0.1,0.12,0.08,0.13,0.12,0.15,0.14,0.07,0.07,0.06,0.09,0,9.56,1.42,1475,1350,1950,1.93,3.43,1.88,2.39,4.15,2.39,10.34,Walking
309,33,0.05,0.08,0.13,0.1,0.08,0.09,0.09,0.12,0.16,0.13,0.1,0.11,0.11,0.1,0.12,0.05,0.12,0.07,0.1,0.15,0.1,0.1,0.11,0.11,0.14,0.13,0.09,0.08,0.05,0.12,0,9.8,1.83,1687.5,709.09,2925,1.92,3.77,2.29,2.39,4.47,2.39,10.67,Walking
310,33,0.08,0.09,0.09,0.11,0.08,0.08,0.08,0.11,0.14,0.16,0.11,0.1,0.08,0.1,0.14,0.06,0.06,0.14,0.12,0.12,0.13,0.1,0.12,0.12,0.12,0.1,0.05,0.1,0.1,0.09,0,9.76,1.51,950,1228.57,2866.67,2.17,3.63,2.12,2.7,4.34,2.7,10.63,Walking
311,33,0.08,0.09,0.12,0.1,0.04,0.08,0.09,0.16,0.12,0.15,0.13,0.09,0.11,0.07,0.11,0.1,0.08,0.11,0.07,0.15,0.15,0.12,0.07,0.15,0.09,0.09,0.1,0.09,0.05,0.11,0,9.6,1.52,3066.67,588.46,2550,2.16,3.8,2.23,2.67,4.51,2.67,10.52,Walking
312,33,0.05,0.08,0.14,0.08,0.08,0.07,0.1,0.15,0.11,0.16,0.11,0.09,0.09,0.12,0.13,0.09,0.09,0.1,0.09,0.11,0.12,0.12,0.12,0.12,0.13,0.1,0.09,0.06,0.07,0.09,0,9.56,1.39,2450,1466.67,2933.33,1.99,3.5,2.02,2.43,4.25,2.43,10.36,Walking
313,33,0.07,0.07,0.09,0.12,0.1,0.08,0.06,0.16,0.17,0.12,0.1,0.09,0.1,0.13,0.08,0.12,0.09,0.12,0.08,0.12,0.11,0.09,0.13,0.11,0.11,0.12,0.1,0.08,0.08,0.09,0,9.74,1.47,1500,546.88,3375,1.87,3.44,1.93,2.27,4.15,2.27,10.48,Walking
314,33,0.09,0.07,0.1,0.09,0.12,0.08,0.08,0.1,0.18,0.14,0.1,0.08,0.09,0.13,0.09,0.11,0.09,0.12,0.11,0.1,0.1,0.1,0.09,0.11,0.12,0.17,0.1,0.06,0.08,0.09,0,9.74,1.56,1816.67,1760,2933.33,1.99,3.37,1.9,2.43,4.02,2.43,10.5,Walking
315,33,0.07,0.11,0.11,0.07,0.11,0.06,0.14,0.15,0.08,0.13,0.11,0.08,0.12,0.1,0.1,0.12,0.08,0.11,0.09,0.11,0.12,0.1,0.08,0.14,0.09,0.13,0.08,0.08,0.08,0.11,0,9.64,1.61,2575,944.44,3425,1.93,3.42,2.11,2.48,4.12,2.48,10.49,Walking
316,33,0.07,0.08,0.11,0.12,0.08,0.08,0.11,0.11,0.15,0.11,0.11,0.09,0.1,0.08,0.11,0.07,0.14,0.14,0.09,0.1,0.09,0.09,0.11,0.15,0.12,0.09,0.06,0.11,0.1,0.11,0,9.64,1.63,975,1810,2016.67,1.95,3.63,2.02,2.45,4.32,2.45,10.49,Walking
317,33,0.06,0.1,0.1,0.1,0.1,0.09,0.13,0.11,0.1,0.13,0.08,0.13,0.08,0.09,0.13,0.08,0.13,0.1,0.13,0.08,0.1,0.09,0.11,0.1,0.1,0.11,0.08,0.12,0.11,0.11,0,9.69,1.74,1750,900,2016.67,1.95,3.3,2.06,2.55,3.95,2.55,10.53,Walking
318,33,0.08,0.12,0.12,0.05,0.1,0.11,0.06,0.13,0.12,0.13,0.1,0.12,0.07,0.11,0.1,0.1,0.09,0.12,0.12,0.09,0.14,0.12,0.07,0.1,0.12,0.12,0.1,0.07,0.08,0.11,0,9.66,1.53,2475,1616.67,1962.5,2.1,3.48,2.15,2.67,4.19,2.67,10.55,Walking
319,33,0.1,0.08,0.12,0.11,0.1,0.06,0.11,0.08,0.13,0.13,0.13,0.06,0.12,0.09,0.08,0.15,0.07,0.07,0.12,0.12,0.17,0.11,0.1,0.1,0.1,0.08,0.07,0.13,0.07,0.09,0,9.72,1.37,2800,1520,3800,2.2,3.67,2.24,2.81,4.46,2.81,10.63,Walking
320,33,0.13,0.13,0.09,0.09,0.06,0.08,0.09,0.13,0.12,0.11,0.17,0.09,0.11,0.08,0.07,0.08,0.06,0.08,0.1,0.18,0.16,0.15,0.09,0.09,0.06,0.09,0.08,0.12,0.08,0.11,0,9.45,1.49,2550,578.57,2233.33,2.33,4.27,2.37,2.93,5.02,2.93,10.56,Walking
321,33,0.11,0.15,0.08,0.12,0.06,0.04,0.11,0.09,0.12,0.14,0.15,0.08,0.09,0.11,0.05,0.09,0.1,0.09,0.1,0.15,0.13,0.17,0.11,0.07,0.08,0.07,0.1,0.12,0.07,0.1,0,9.58,1.35,1925,618.18,2233.33,2.3,4.12,2.32,2.81,4.92,2.81,10.71,Walking
322,33,0.12,0.16,0.08,0.07,0.08,0.06,0.11,0.12,0.09,0.13,0.14,0.09,0.07,0.11,0.1,0.09,0.08,0.08,0.13,0.13,0.17,0.1,0.14,0.09,0.06,0.08,0.07,0.1,0.12,0.09,0,9.64,1.38,2533.33,945,4725,2.36,3.84,2.3,2.99,4.6,2.99,10.63,Walking
323,33,0.13,0.13,0.1,0.07,0.08,0.11,0.08,0.11,0.06,0.15,0.13,0.09,0.07,0.11,0.11,0.08,0.1,0.12,0.07,0.15,0.17,0.11,0.1,0.1,0.03,0.1,0.12,0.12,0.08,0.11,0,9.72,1.5,3125,887.5,3350,2.41,3.7,2.3,3.11,4.41,3.11,10.78,Walking
324,33,0.12,0.13,0.1,0.11,0.1,0.08,0.12,0.1,0.08,0.1,0.11,0.09,0.08,0.11,0.08,0.12,0.09,0.12,0.11,0.1,0.11,0.14,0.11,0.09,0.05,0.12,0.12,0.11,0.08,0.1,0,9.74,1.52,1210,1133.33,1925,2.2,3.5,2.08,2.82,4.22,2.82,10.62,Walking
325,33,0.1,0.16,0.08,0.1,0.09,0.11,0.1,0.11,0.1,0.08,0.12,0.1,0.1,0.1,0.09,0.09,0.11,0.08,0.08,0.14,0.15,0.12,0.08,0.09,0.08,0.1,0.1,0.12,0.07,0.11,0,9.52,1.53,1450,1075,1925,2.16,3.82,2.27,2.83,4.59,2.83,10.5,Walking
326,33,0.13,0.08,0.1,0.14,0.11,0.08,0.09,0.06,0.07,0.05,0.09,0.1,0.09,0.09,0.1,0.13,0.08,0.08,0.09,0.06,0.15,0.07,0.09,0.12,0.05,0.08,0.07,0.06,0.05,0.16,0,8.17,1.44,650,1566.67,1475,1.83,3.06,2.26,2.73,4.21,2.73,9.27,Walking
327,29,0.18,0.13,0.1,0.12,0.05,0.08,0.11,0.1,0.09,0.07,0.1,0.09,0.04,0.11,0.1,0.1,0.11,0.13,0.11,0.12,0.16,0.17,0.08,0.08,0.05,0.06,0.12,0.13,0.09,0.09,0,9.42,-1.29,1400,675,3700,5.03,3.28,2.9,6.22,4.29,6.22,11.83,Walking
328,29,0.12,0.11,0.1,0.12,0.1,0.1,0.08,0.12,0.09,0.09,0.1,0.08,0.1,0.11,0.11,0.11,0.1,0.1,0.08,0.13,0.19,0.12,0.11,0.06,0.07,0.08,0.09,0.08,0.15,0.07,0,9.08,-1.45,2350,696.43,3525,5.57,3.21,2.9,6.71,4.28,6.71,11.82,Walking
329,29,0.13,0.1,0.09,0.07,0.1,0.12,0.1,0.1,0.08,0.13,0.13,0.07,0.13,0.1,0.06,0.1,0.11,0.09,0.16,0.07,0.11,0.17,0.09,0.11,0.09,0.04,0.06,0.11,0.14,0.09,0,8.74,-1.14,1550,1037.5,1383.33,5.84,3.24,3.07,7.05,4.24,7.05,11.76,Walking
330,29,0.12,0.11,0.07,0.08,0.16,0.08,0.11,0.09,0.09,0.12,0.11,0.11,0.08,0.09,0.11,0.09,0.09,0.1,0.12,0.12,0.13,0.09,0.07,0.13,0.12,0.06,0.08,0.12,0.13,0.09,0,8.98,-1.08,2650,1350,2833.33,5.74,3.28,2.95,6.86,4.29,6.86,11.74,Walking
331,29,0.13,0.08,0.1,0.11,0.11,0.13,0.09,0.11,0.07,0.1,0.06,0.16,0.11,0.08,0.09,0.13,0.1,0.11,0.09,0.1,0.13,0.07,0.12,0.08,0.04,0.13,0.13,0.16,0.11,0.07,0,8.95,-1.08,3725,931.25,2483.33,5.59,3,2.67,6.77,3.98,6.77,11.53,Walking
332,29,0.12,0.08,0.14,0.08,0.09,0.07,0.16,0.07,0.13,0.08,0.06,0.16,0.1,0.06,0.12,0.09,0.13,0.08,0.12,0.11,0.17,0.06,0.09,0.11,0.04,0.08,0.21,0.13,0.08,0.07,0,9.12,-1.26,2500,1600,3225,5.54,3.16,2.59,6.64,4.11,6.64,11.67,Walking
333,29,0.1,0.12,0.09,0.09,0.1,0.11,0.11,0.15,0.08,0.08,0.1,0.14,0.07,0.11,0.11,0.06,0.11,0.12,0.09,0.1,0.11,0.09,0.07,0.14,0.08,0.1,0.12,0.12,0.1,0.1,0,8.75,-1.11,2400,1650,3600,5.6,3.19,2.55,6.64,4.16,6.64,11.41,Walking
334,29,0.1,0.13,0.1,0.07,0.12,0.1,0.08,0.13,0.11,0.09,0.16,0.12,0.09,0.07,0.05,0.08,0.11,0.11,0.13,0.11,0.14,0.13,0.08,0.1,0.13,0.08,0.09,0.05,0.1,0.12,0,8.74,-1.11,2600,928.57,3575,5.73,3.46,3.03,6.84,4.37,6.84,11.68,Walking
335,29,0.05,0.13,0.06,0.09,0.1,0.18,0.08,0.13,0.09,0.1,0.1,0.13,0.12,0.09,0.04,0.1,0.13,0.12,0.09,0.1,0.04,0.1,0.1,0.18,0.11,0.14,0.07,0.07,0.09,0.13,0,8.75,-0.92,2200,1143.75,1325,5.89,3.04,2.78,6.92,3.98,6.92,11.58,Walking
336,29,0.09,0.09,0.11,0.13,0.07,0.07,0.14,0.08,0.1,0.14,0.12,0.12,0.12,0.08,0.07,0.1,0.11,0.08,0.1,0.12,0.09,0.11,0.06,0.11,0.1,0.11,0.12,0.09,0.12,0.11,0,8.84,-0.74,2050,1044.44,2575,5.93,3.42,3.04,7.07,4.43,7.07,11.86,Walking
